year,month,day,day_of_week,text,timestamp,sentiment
2023,6,1,3,sizde paran z katlayaca n z dev pumplar m za kat l n kanal inceleyin rkiye 0280,2023-06-01T05:00:00Z,n/a
2023,6,1,3, 1000 ,2023-06-01T05:00:00Z,NEUTRAL
2023,6,1,3, reminder the btc bear market is 100 over i ve told you for weeks that we would see a bullish retest of the 200 wm ,2023-06-01T05:00:00Z,NEUTRAL
2023,6,1,3, bug n sizce btc y kselir mi d er mi y kselir diyenler retweetd er diyenler be ene bass nben retweet taraf nday m ,2023-06-01T05:00:00Z,n/a
2023,6,1,3, bug n sizce btc y kselir mi d er mi y kselir diyenler retweetd er diyenler be ene bass nben retweet taraf nday m ,2023-06-01T05:00:00Z,n/a
2023,6,1,3, me your meme coins ,2023-06-01T05:00:00Z,NEUTRAL
2023,6,1,3, herkese selamlar raising hands yeni gem projeyi hem buradan hem gruptan payla aca m writing hand hem burada hem grupta bildirimleriniz a k olsu ,2023-06-01T05:00:00Z,n/a
2023,6,1,3,hi i m an ai bot i will show my resultfor info dm mestart balance 330000 satoshi 29 04 2023update balance 347342 satoshiposition 19 0 xrp ,2023-06-01T05:00:00Z,NEUTRAL
2023,6,1,3, rocket market stats rocket rocket top gainers in trophy brise gft pit ,2023-06-01T06:00:00Z,NEUTRAL
2023,6,1,3, project is the best project 2023 most promising crypto project is lnr you can visit this ,2023-06-01T06:00:00Z,POSITIVE
2023,6,1,3, all targets hit precisely 185 pips profit bullseye join our free telegram channel link in the bio ,2023-06-01T06:00:00Z,NEUTRAL
2023,6,1,3, all targets hit 85 pips profit bullseye bullseye join our free telegram channel link in the bio ,2023-06-01T06:00:00Z,NEUTRAL
2023,6,1,3,are we in a bull or in a bear market it is a bored market for sure ,2023-06-01T06:00:00Z,NEGATIVE
2023,6,1,3, ,2023-06-01T06:00:00Z,NEUTRAL
2023,6,1,3, green is good check mark button check mark button bitbull getting bullish ox ox green candles getting bigger and better 100 very soon bullseye bullseye ,2023-06-01T06:00:00Z,MIXED
2023,6,1,3, greater control over your digital assets less risk of fraud and theft locked with key locked with key get bullish with bitbull ox ox ox ,2023-06-01T06:00:00Z,MIXED
2023,6,1,3, all targets done 120 pips profit check mark button bullseye join our free telegram channel link in the bio ,2023-06-01T06:00:00Z,NEUTRAL
2023,6,1,3, are we ready for the next pump alarm clock hourglass not done long green candle awaited bullseye high voltage saluting face 1st place medal ,2023-06-01T06:00:00Z,NEUTRAL
2023,6,1,3, is that the next green candle rising chart increasing with yen chart increasing with yen high voltage high voltage bitbull getting bullish ox ox ox 84900 up on bitmart bullseye bullseye ,2023-06-01T07:00:00Z,NEUTRAL
2023,6,1,3, bullish right ox ox ox 499900 up high voltage high voltage bull cycle loading ,2023-06-01T07:00:00Z,NEUTRAL
2023,6,1,3, bitbull is taking the leap 1st place medal 1st place medal something great is coming up bullseye bullseye stay bullish on bitbull ox ox ox ,2023-06-01T07:00:00Z,NEUTRAL
2023,6,1,3, hedge longu g zel i liyor bu saatte para kazanmak i in ayakta olan emek ilere selam olsun saluting face ,2023-06-01T07:00:00Z,n/a
2023,6,1,3, buying is a game of accumulation and it s the best tool to counteract monetary inflation keep purchasing until it s no longer feasible y all follow she s is a superb and wonderful analyst in crypto her tweets amp tips has been accurate follow her,2023-06-01T07:00:00Z,POSITIVE
2023,6,1,3, monthly candle closed in red amp btc rejected from 30k huge resistance area next short term correction area is 20k eth ,2023-06-01T07:00:00Z,NEUTRAL
2023,6,1,3, wrapped gift wrapped gift prizes trophy 50 in btc to enter keycap 1 follow keycap 2 rt red heart keycap 3 tag a friend hourglass done 24 hours ,2023-06-01T07:00:00Z,NEUTRAL
2023,6,1,3,tasarruf yapmak art k tek ba na yeterli de il bu tasarruflar yat r ma evirmedi in s rece ana paran koruyamazs n ,2023-06-01T07:00:00Z,n/a
2023,6,1,3, wrapped gift wrapped gift prizes trophy 50 in btc to enter keycap 1 follow keycap 2 rt red heart keycap 3 tag a friend hourglass done 24 hours ,2023-06-01T07:00:00Z,NEUTRAL
2023,6,1,3, her ay 3 000 tl ye varan bonuslar yakala check mark button i ntobet i lk ay de il her ay bonus ,2023-06-01T07:00:00Z,NEUTRAL
2023,6,1,3, 24 saat i erisinde 2 ansl ki iye 50 hediye wrapped gift bu tweeti retweetle telegram grubuna ye olun telegram kat l ,2023-06-01T08:00:00Z,n/a
2023,6,1,3, green is good check mark button check mark button bitbull getting bullish ox ox green candles getting bigger and better 100 very soon bullseye bullseye ,2023-06-01T08:00:00Z,MIXED
2023,6,1,3, created to kill the financial issues saluting face saluting face bitbull is what you need high voltage high voltage high voltage ,2023-06-01T08:00:00Z,MIXED
2023,6,1,3, 2 takip imize toplamda 1000 tl hediye ediyorum four leaf clover bu twiti be eni rt yapman z ve telegram grubuna kat lman z yeterlidir ,2023-06-01T08:00:00Z,n/a
2023,6,1,3, greater control over your digital assets less risk of fraud and theft locked with key locked with key get bullish with bitbull ox ox ox ,2023-06-01T08:00:00Z,MIXED
2023,6,1,3, ,2023-06-01T08:00:00Z,NEUTRAL
2023,6,1,3, are we ready for the next pump alarm clock hourglass not done long green candle awaited bullseye high voltage saluting face 1st place medal ,2023-06-01T08:00:00Z,NEUTRAL
2023,6,1,3, minus destek ve diren aral nda dar bir hatta s k m gibi minus g r nt olduk a g zel g r n yor minus 7 31 zerinde mum kapat rsa g zel bir y kseli sergileyebilir ,2023-06-01T08:00:00Z,n/a
2023,6,1,3,join us and earn every day check out our channel a24e,2023-06-01T08:00:00Z,NEUTRAL
2023,6,1,3, top gainers fire fire fire fire ,2023-06-01T08:00:00Z,NEUTRAL
2023,6,1,3, yoda frog ,2023-06-01T09:00:00Z,NEUTRAL
2023,6,1,3, w1 chart shows macd bearish crossover or histogram reaching zero the same condition happened in 2020 the star ,2023-06-01T09:00:00Z,NEUTRAL
2023,6,1,3, piyasa geri gelmesine ra men de mtl de ok sa lam durdular i lk yukar tepkide zellikle chr sa lam mum atabilir fire ,2023-06-01T09:00:00Z,n/a
2023,6,1,3, fire orange square villainzverse wl giveaway orange square fire 3 wl spots for entry orange heart like rt amp tag 3 frens orange heart follow ,2023-06-01T09:00:00Z,NEUTRAL
2023,6,1,3, unutma para de il paras zl k bozar adam o y zden mal can n yongas d r diyip ok al maya devam edece iz sistemimi ,2023-06-01T09:00:00Z,n/a
2023,6,1,3, 2 takip imize toplamda 1000 tl hediye ediyorum four leaf clover bu twiti be eni rt yapman z ve telegram grubuna kat lman z yeterlidir ,2023-06-01T09:00:00Z,n/a
2023,6,1,3, first digital unveils usd stablecoin as hong kong crypto rules kick in ,2023-06-01T09:00:00Z,NEUTRAL
2023,6,1,3, coinmarketcap listing 1st place medal 1st place medal high voltage bullseye bitbull stays bullish ox ox can we see 200 within today next listing next week shushing face shushing face shushing face ,2023-06-01T09:00:00Z,NEUTRAL
2023,6,1,3, face screaming in fear hyped wl giveaway high voltage we are happy to collab with to wrapped gift 5x wl slots of their upcoming xbtg mint sparkles ,2023-06-01T09:00:00Z,POSITIVE
2023,6,1,3,the wait is almost over launch in 2hrs statue of liberty telegram statue of liberty btc ,2023-06-01T09:00:00Z,NEGATIVE
2023,6,1,3,g nayd n ogifam bug n veri ve a klamalar n bol oldu u bir g n testere aktif olabilir futures i lemler de tedbirli ve sakin i lem alman z neririm hepimize bereketli bir g n olsun lt 3 ,2023-06-01T10:00:00Z,n/a
2023,6,1,3, the cryptocurrency exchange recorded 2 31b in trading volume over the last 24 hours the biggest gainer on zedxion ,2023-06-01T10:00:00Z,NEUTRAL
2023,6,1,3,just in binance australia officially ceases aud deposits and withdrawals coingape headlines news backhand index pointing right follow me to get the latest crypto news t co ypqyfvsshr,2023-06-01T10:00:00Z,NEUTRAL
2023,6,1,3, buy dsq money bag make in follow ,2023-06-01T10:00:00Z,NEUTRAL
2023,6,1,3, the cryptocurrency exchange recorded 2 31b in trading volume over the last 24 hours the biggest gainer on zedxion ,2023-06-01T10:00:00Z,NEUTRAL
2023,6,1,3, the cryptocurrency exchange recorded 2 31b in trading volume over the last 24 hours the biggest gainer on zedxion ,2023-06-01T10:00:00Z,NEUTRAL
2023,6,1,3, the cryptocurrency exchange recorded 2 31b in trading volume over the last 24 hours the biggest gainer on zedxion ,2023-06-01T10:00:00Z,NEUTRAL
2023,6,1,3, the cryptocurrency exchange recorded 2 31b in trading volume over the last 24 hours the biggest gainer on zedxion ,2023-06-01T10:00:00Z,NEUTRAL
2023,6,1,3, the cryptocurrency exchange recorded 2 31b in trading volume over the last 24 hours the biggest gainer on zedxion ,2023-06-01T10:00:00Z,NEUTRAL
2023,6,1,3, the cryptocurrency exchange recorded 2 31b in trading volume over the last 24 hours the biggest gainer on zedxion ,2023-06-01T10:00:00Z,NEUTRAL
2023,6,1,3, partying face fire chart increasing rocket i just bought more bitcoin today who s with me bitcoin cycle indicator is most of the time spot on bullseye chart increasing rocket th ,2023-06-01T11:00:00Z,NEUTRAL
2023,6,1,3, hello i will start hosting giveaways kindly turn on your notif bell ,2023-06-01T11:00:00Z,NEUTRAL
2023,6,1,3, coinmarketcap listing 1st place medal 1st place medal high voltage bullseye bitbull stays bullish ox ox can we see 200 within today next listing next week shushing face shushing face shushing face ,2023-06-01T11:00:00Z,NEUTRAL
2023,6,1,3,if you need help with recovering any account mails tiktok snapchat instagram ,2023-06-01T11:00:00Z,NEUTRAL
2023,6,1,3, it s the new dawn of the new day sun behind small cloud alphapanda on live soon orange square bringing you upcoming project leaks every w ,2023-06-01T11:00:00Z,NEUTRAL
2023,6,1,3, is named ,2023-06-01T11:00:00Z,NEUTRAL
2023,6,1,3, orange square gm inscribtoors last giveaway for a free mint of currently we have collected around 5k addresses ,2023-06-01T11:00:00Z,NEUTRAL
2023,6,1,3,i sell the domain cryptojohn sats in bitcoin t co imln6pjzf8,2023-06-01T11:00:00Z,NEUTRAL
2023,6,1,3, mavi b lgede tutunmaya al yor burada tutunamazsak uzun s redir bizi bekleyen turuncu b lge ile kucakl ,2023-06-01T11:00:00Z,n/a
2023,6,1,3, still moving according to plan stack sats amp relax btc ,2023-06-01T11:00:00Z,NEUTRAL
2023,6,1,3, wrapped gift eki li wrapped gift 1 takip ime 20 400 tl hediye ediyorum four leaf clover ve beni takip edin party popper bu twite rt fav red heart at n s r ,2023-06-01T12:00:00Z,n/a
2023,6,1,3,join us and earn every day check out our channel 2825,2023-06-01T12:00:00Z,NEUTRAL
2023,6,1,3, framed picture daily blue life in feeling blue planet 1 1 handmade illustration by lemonnerd illustrator based in bkk thailand ,2023-06-01T12:00:00Z,NEUTRAL
2023,6,1,3, face screaming in fear hyped wl giveaway high voltage we are happy to collab with to wrapped gift 5x wl slots of their upcoming xbtg mint sparkles ,2023-06-01T12:00:00Z,POSITIVE
2023,6,1,3, 10 in 48 hours timer clock rt amp follow and ,2023-06-01T12:00:00Z,NEUTRAL
2023,6,1,3, 10 in 24 hours timer clock rt amp follow ekili ,2023-06-01T12:00:00Z,NEUTRAL
2023,6,1,3, in continuation time on balance of probability the trend is still s friend plus the 38 2 fibonacci retr ,2023-06-01T12:00:00Z,NEUTRAL
2023,6,1,3, wrapped gift eki li wrapped gift 1 takip ime 20 400 tl hediye ediyorum four leaf clover ve beni takip edin party popper bu twite rt fav red heart at n s r ,2023-06-01T12:00:00Z,n/a
2023,6,1,3, weak sellers will realise later pensive face pensive face small profits now fearful face or big profits later smiling face with sunglasses choose yourself thumbs up light skin tone bitbull will bring back ,2023-06-01T12:00:00Z,MIXED
2023,6,1,3, orange square gm inscribtoors last giveaway for a free mint of currently we have collected around 5k addresses ,2023-06-01T13:00:00Z,NEUTRAL
2023,6,1,3, wrapped gift wrapped gift prizes trophy 50 in pepe to enter keycap 1 follow keycap 2 rt red heart keycap 3 tag a friend hourglass done 24 hours ,2023-06-01T13:00:00Z,NEUTRAL
2023,6,1,3,hi i m an ai bot i will show my resultfor info dm mestart balance 330000 satoshi 29 04 2023update balance 346295 satoshiposition 17 0 xrp ,2023-06-01T13:00:00Z,NEUTRAL
2023,6,1,3,bir takip ime 500 tl hediye ediyorum four leaf clover ve beni takip edin collision ekili hesab d r aktif ekili leri olucakt r bu twite rt fav red heart at n yar n a klanacakt r party popper ,2023-06-01T13:00:00Z,n/a
2023,6,1,3, 2 takip imize toplamda 1000 tl hediye ediyorum four leaf clover bu twiti be eni rt yapman z ve telegram grubuna kat lman z yeterlidir ,2023-06-01T13:00:00Z,n/a
2023,6,1,3, 3 and a half hours left in the sacrifice event don t miss out on the 100 bonus mainnet launch tomorrow fin ,2023-06-01T13:00:00Z,POSITIVE
2023,6,1,3, just over 12 hours left in the sacrifice event don t miss out on the 100 bonus mainnet launch tomorrow fin ,2023-06-01T13:00:00Z,POSITIVE
2023,6,1,3, partying face fire chart increasing rocket i just bought more bitcoin today who s with me bitcoin cycle indicator is most of the time spot on bullseye chart increasing rocket th ,2023-06-01T13:00:00Z,NEUTRAL
2023,6,1,3, australia 20 6 1 ,2023-06-01T13:00:00Z,NEUTRAL
2023,6,1,3, my target price for legendary rocket 1st 0 012 cent before halving 2nd 1 cent after pump 20243rd 1 ,2023-06-01T13:00:00Z,NEUTRAL
2023,6,1,3,ripple releases 1 billion xrp tokens as the token outperforms most other cryptocurrencies ,2023-06-01T14:00:00Z,NEUTRAL
2023,6,1,3,multi down 10 amid uncertainty over rumors of executives missing backhand index pointing right follow me to get the latest crypto news t co m2fcnkg0kh,2023-06-01T14:00:00Z,NEUTRAL
2023,6,1,3, wrapped gift eki li wrapped gift 1 takip ime 20 400 tl hediye ediyorum four leaf clover ve beni takip edin party popper bu twite rt fav red heart at n s r ,2023-06-01T14:00:00Z,n/a
2023,6,1,3,25 eki li keycap 1 takip et keycap 2 rt amp be en keycap 3 telegram a kat l n backhand index pointing down 12 saat ,2023-06-01T14:00:00Z,n/a
2023,6,1,3, face screaming in fear hyped wl giveaway high voltage we are happy to collab with to wrapped gift 5x wl slots of their upcoming xbtg mint sparkles ,2023-06-01T14:00:00Z,POSITIVE
2023,6,1,3, buy dsq money bag make in follow ,2023-06-01T14:00:00Z,NEUTRAL
2023,6,1,3,the most important difference between amp crypto is decentralized and therefore promotes the right of the individuum crypto is centralized around a small founder team and promotes their leader deal with it ,2023-06-01T14:00:00Z,NEUTRAL
2023,6,1,3, wrapped gift eki li wrapped gift 1 takip ime 20 400 tl hediye ediyorum four leaf clover ve beni takip edin party popper bu twite rt fav red heart at n s r ,2023-06-01T14:00:00Z,n/a
2023,6,1,3, bir takip ime 500 tl hediye ediyorum four leaf clover ve beni takip edin collision ekili hesab d r aktif ekili ler ,2023-06-01T14:00:00Z,n/a
2023,6,1,3, bir takip ime 500 tl hediye ediyorum four leaf clover ve beni takip edin collision ekili hesab d r aktif ekili ler ,2023-06-01T14:00:00Z,n/a
2023,6,1,3,south american countries to back away from the usd cryptopolitan backhand index pointing right follow me to get the latest crypto news t co kbccmfzwcq,2023-06-01T15:00:00Z,NEUTRAL
2023,6,1,3, bir takip ime 500 tl hediye ediyorum four leaf clover ve beni takip edin collision ekili hesab d r aktif ekili ler ,2023-06-01T15:00:00Z,n/a
2023,6,1,3, orange square gm inscribtoors last giveaway for a free mint of currently we have collected around 5k addresses ,2023-06-01T15:00:00Z,NEUTRAL
2023,6,1,3, make be ,2023-06-01T15:00:00Z,MIXED
2023,6,1,3, 2 takip imize toplamda 1000 tl hediye ediyorum four leaf clover bu twiti be eni rt yapman z ve telegram grubuna kat lman z yeterlidir ,2023-06-01T15:00:00Z,n/a
2023,6,1,3, first 1 100 to interact follow red heart rt amp turn on bell drop your taproot wallet backhand index pointing down ,2023-06-01T15:00:00Z,NEUTRAL
2023,6,1,3, bir takip ime 500 tl hediye ediyorum four leaf clover ve beni takip edin collision ekili hesab d r aktif ekili ler ,2023-06-01T15:00:00Z,n/a
2023,6,1,3, bu ak am hediyele elim heart hands light skin tone ,2023-06-01T15:00:00Z,NEUTRAL
2023,6,1,3, get for a ,2023-06-01T15:00:00Z,NEUTRAL
2023,6,1,3,join us and earn every day check out our channel 3923,2023-06-01T15:00:00Z,NEUTRAL
2023,6,1,3, backhand index pointing right tokenofsociety check mark button bar chart 0 0000000626148 0 66 24h now swap bnb dac and usdt dac seamlessly on ,2023-06-01T16:00:00Z,NEUTRAL
2023,6,1,3,dostlar m taraf nda beklentimde de i en hi bir ey yokd ncelerim hala ge erli sab rla hedefleri bekliyoruzmacro l ekte beklentim grafikteki gibidir 2024 halving ine 309 g n kald ,2023-06-01T16:00:00Z,n/a
2023,6,1,3, i stek zerine pembe alan ve ma200 destek olu turuyorbu devam ederse yukar daki izgilerin her biri hed ,2023-06-01T16:00:00Z,n/a
2023,6,1,3, wrapped gift wl giveaway wrapped gift prize 3x wl spotsto enter keycap 1 follow keycap 2 retweet like keycap 3 tag frenz alarm clock 24 ho ,2023-06-01T16:00:00Z,NEUTRAL
2023,6,1,3, is repeatedly printing these bullish patterns next stop 130k ,2023-06-01T16:00:00Z,NEGATIVE
2023,6,1,3, coinmarketcap listing 1st place medal 1st place medal high voltage bullseye bitbull stays bullish ox ox can we see 200 within today next listing next week shushing face shushing face shushing face ,2023-06-01T16:00:00Z,NEUTRAL
2023,6,1,3,bitcoin de hareketlilik ba lad canli tekni k anali z ve scalping ,2023-06-01T16:00:00Z,n/a
2023,6,1,3, 2 takip imize toplamda 1000 tl hediye ediyorum four leaf clover bu twiti be eni rt yapman z ve telegram grubuna kat lman z yeterlidir ,2023-06-01T16:00:00Z,n/a
2023,6,1,3, bir takip ime 500 tl hediye ediyorum four leaf clover ve beni takip edin collision ekili hesab d r aktif ekili ler ,2023-06-01T16:00:00Z,n/a
2023,6,1,3, bir takip ime 500 tl hediye ediyorum four leaf clover ve beni takip edin collision ekili hesab d r aktif ekili ler ,2023-06-01T16:00:00Z,n/a
2023,6,1,3, bildi iniz zere dip seviyelerden ald m z yak n kar yazd fire 5 g nd r yeni ath yaparak ilerliyor yar n t rkiy ,2023-06-01T17:00:00Z,n/a
2023,6,1,3, kriptonun can s k c oldu u g nlerde fx taraf na da y nelmenizi tavsiye ederim kendi grubumuz ile i lem al yoruz gr ,2023-06-01T17:00:00Z,n/a
2023,6,1,3, bildi iniz zere dip seviyelerden ald m z yak n kar yazd fire 5 g nd r yeni ath yaparak ilerliyor yar n t rkiy ,2023-06-01T17:00:00Z,n/a
2023,6,1,3, wrapped gift eki li wrapped gift 2 takip imize 40 800 tl hediye ediyoruz four leaf clover ve beni takip edin collision bu twite rt fav red heart at n ,2023-06-01T17:00:00Z,n/a
2023,6,1,3, bildi iniz zere dip seviyelerden ald m z yak n kar yazd fire 5 g nd r yeni ath yaparak ilerliyor yar n t rkiy ,2023-06-01T17:00:00Z,n/a
2023,6,1,3, bildi iniz zere dip seviyelerden ald m z yak n kar yazd fire 5 g nd r yeni ath yaparak ilerliyor yar n t rkiy ,2023-06-01T17:00:00Z,n/a
2023,6,1,3,having these problems 1 withdrawal issues2 frozen funds3 withdrawal password issues4 suspendedaccount send me a message now for help ,2023-06-01T17:00:00Z,NEGATIVE
2023,6,1,3, bildi iniz zere dip seviyelerden ald m z yak n kar yazd fire 5 g nd r yeni ath yaparak ilerliyor yar n t rkiy ,2023-06-01T17:00:00Z,n/a
2023,6,1,3, wrapped gift eki li wrapped gift 2 takip imize 40 800 tl hediye ediyoruz four leaf clover ve beni takip edin collision bu twite rt fav red heart at n ,2023-06-01T17:00:00Z,n/a
2023,6,1,3, megaphone megaphone bae ve hong kong crypto geli tirme ve d zenlemelerini g lendirmek i in ortakl klar n a klad lar ,2023-06-01T17:00:00Z,n/a
2023,6,1,3, wrapped gift eki li wrapped gift 2 takip imize 40 800 tl hediye ediyoruz four leaf clover ve beni takip edin collision bu twite rt fav red heart at n ,2023-06-01T18:00:00Z,n/a
2023,6,1,3, sabah n k r nde umudunun ve ekme inin pe inden ko an t m i i emek i karde lerime kolayl klar renci karde lerime de zih ,2023-06-01T18:00:00Z,n/a
2023,6,1,3, sahte haberle 26 700 seviyesine d t moral ve motivasyon olsun diye takip ilerimize dolar da tmaya devam money with wings ,2023-06-01T18:00:00Z,n/a
2023,6,1,3, piyasa geri gelmesine ra men de mtl de ok sa lam durdular i lk yukar tepkide zellikle chr sa lam mum atabilir fire ,2023-06-01T18:00:00Z,n/a
2023,6,1,3, benimle birlikte ocean dan yakla k 50 000 l k pnl bekleyenler backhand index pointing down g n n kazanc 20 000 ge ti inde yine buradan 1000 ,2023-06-01T18:00:00Z,n/a
2023,6,1,3, piyasa rezil ocean tabelada hareketin devam n istiyor ve bekliyor troia ailesi hi zmedi bizi binance deki be ,2023-06-01T18:00:00Z,n/a
